"anon","ruletype","sequence","rule","rt_in_seconds","answer","response","accuracy"
"001","sumtwo","5, 18, 23, 41, 64, 105, ","Sum the last two numbers",46.557,"169","169",TRUE
"001","sumtwo","8, 11, 19, 30, 49, 79, ","Sum the last two numbers",12.205,"128","87",FALSE
"001","sumtwo","8, 18, 26, 44, 70, 114, ","Sum the last two numbers",8.788,"184","184",TRUE
"001","sumtwo","1, 4, 5, 9, 14, 23, ","Sum the last two numbers",7.763,"37","37",TRUE
"001","xkc","2, 10, 18, 26, 34, 42, ","Add 8 to each number",14.208,"50","50",TRUE
"001","sumtwo","10, 12, 22, 34, 56, 90, ","Sum the last two numbers",21.405,"146","136",FALSE
"001","xkc","6, 16, 26, 36, 46, 56, ","Add 10 to each number",4.788,"66","66",TRUE
"001","sumtwo","5, 10, 15, 25, 40, 65, ","Sum the last two numbers",8.703,"105","105",TRUE
"001","sumtwo","2, 19, 21, 40, 61, 101, ","Sum the last two numbers",16.971,"162","122",FALSE
"001","sumtwo","1, 16, 17, 33, 50, 83, ","Sum the last two numbers",7.553,"133","133",TRUE
"001","sumtwo","5, 11, 16, 27, 43, 70, ","Sum the last two numbers",10.171,"113","113",TRUE
"001","sumtwo","6, 8, 14, 22, 36, 58, ","Sum the last two numbers",13.512,"94","94",TRUE
"001","sumtwo","4, 15, 19, 34, 53, 87, ","Sum the last two numbers",11.241,"140","140",TRUE
"001","sumtwo","12, 19, 31, 50, 81, 131, ","Sum the last two numbers",9.936,"212","211",FALSE
"001","xkc","9, 14, 19, 24, 29, 34, ","Add 5 to each number",6.814,"39","39",TRUE
"001","sumtwo","7, 20, 27, 47, 74, 121, ","Sum the last two numbers",18.994,"195","195",TRUE
"001","sumtwo","10, 12, 22, 34, 56, 90, ","Sum the last two numbers",10.081,"146","146",TRUE
"001","sumtwo","12, 14, 26, 40, 66, 106, ","Sum the last two numbers",8.737,"172","172",TRUE
"001","sumtwo","9, 15, 24, 39, 63, 102, ","Sum the last two numbers",11.75,"165","165",TRUE
"001","sumtwo","10, 16, 26, 42, 68, 110, ","Sum the last two numbers",11.984,"178","178",TRUE
"001","sumtwo","4, 16, 20, 36, 56, 92, ","Sum the last two numbers",8.907,"148","148",TRUE
"001","sumtwo","2, 12, 14, 26, 40, 66, ","Sum the last two numbers",5.294,"106","106",TRUE
"001","sumtwo","9, 19, 28, 47, 75, 122, ","Sum the last two numbers",6.25,"197","197",TRUE
"001","sumtwo","2, 18, 20, 38, 58, 96, ","Sum the last two numbers",9.498,"154","154",TRUE
"001","sumtwo","7, 18, 25, 43, 68, 111, ","Sum the last two numbers",8.009,"179","179",TRUE
"001","xkc","6, 12, 18, 24, 30, 36, ","Add 6 to each number",6.122,"42","42",TRUE
