"anon","ruletype","sequence","rule","rt_in_seconds","answer","response","accuracy"
1,"xkc","6, 10, 14, 18, 22, 26, ","Add 4 to each number",10.85,"30","30",TRUE
1,"xkc","8, 14, 20, 26, 32, 38, ","Add 6 to each number",7.929,"44","44",TRUE
1,"xkc","2, 9, 16, 23, 30, 37, ","Add 7 to each number",6.253,"44","44",TRUE
1,"sumtwo","1, 19, 20, 39, 59, 98, ","Sum the last two numbers",17.686,"157","100",FALSE
1,"xkc","10, 13, 16, 19, 22, 25, ","Add 3 to each number",5.283,"28","28",TRUE
1,"xkc","10, 17, 24, 31, 38, 45, ","Add 7 to each number",10.381,"52","52",TRUE
1,"xkc","8, 13, 18, 23, 28, 33, ","Add 5 to each number",12.915,"38","38",TRUE
1,"xkc","4, 13, 22, 31, 40, 49, ","Add 9 to each number",13.186,"58","59",FALSE
1,"sumtwo","12, 19, 31, 50, 81, 131, ","Sum the last two numbers",15.884,"212","150",FALSE
1,"xkc","5, 11, 17, 23, 29, 35, ","Add 6 to each number",7.809,"41","41",TRUE
1,"xkc","8, 17, 26, 35, 44, 53, ","Add 9 to each number",23.466,"62","62",TRUE
1,"xkc","6, 13, 20, 27, 34, 41, ","Add 7 to each number",8.925,"48","48",TRUE
1,"xkc","1, 8, 15, 22, 29, 36, ","Add 7 to each number",10.79,"43","43",TRUE
1,"xkc","1, 7, 13, 19, 25, 31, ","Add 6 to each number",5.963,"37","37",TRUE
1,"xkc","8, 11, 14, 17, 20, 23, ","Add 3 to each number",6.141,"26","26",TRUE
1,"xkc","2, 10, 18, 26, 34, 42, ","Add 8 to each number",6.69,"50","50",TRUE
1,"xkc","6, 13, 20, 27, 34, 41, ","Add 7 to each number",6.313,"48","48",TRUE
1,"xkc","8, 15, 22, 29, 36, 43, ","Add 7 to each number",8.192,"50","50",TRUE
1,"xkc","3, 5, 7, 9, 11, 13, ","Add 2 to each number",5.315,"15","15",TRUE
1,"sumtwo","1, 1, 2, 3, 5, 8, ","Sum the last two numbers",7.685,"13","13",TRUE
1,"xkc","9, 13, 17, 21, 25, 29, ","Add 4 to each number",5.007,"33","33",TRUE
1,"xkc","7, 17, 27, 37, 47, 57, ","Add 10 to each number",6.975,"67","67",TRUE
1,"xkc","1, 8, 15, 22, 29, 36, ","Add 7 to each number",6.621,"43","42",FALSE
1,"xkc","4, 13, 22, 31, 40, 49, ","Add 9 to each number",10.98,"58","58",TRUE
